COG20_CATEGORY_ACC	methylated_count	annot_count	methylated_percent
C	99	260	38.07692307692307
D	19	42	45.23809523809524
E	182	448	40.625
F	43	112	38.392857142857146
G	156	374	41.711229946524064
H	83	219	37.89954337899543
I	95	241	39.41908713692946
J	78	226	34.51327433628318
K	97	301	32.22591362126246
L	70	139	50.35971223021583
M	108	242	44.62809917355372
N	28	48	58.333333333333336
No Annotation	12	37	32.432432432432435
O	61	174	35.05747126436782
P	68	180	37.77777777777778
Q	40	88	45.45454545454545
R	119	359	33.147632311977716
S	67	218	30.73394495412844
T	114	238	47.89915966386555
U	23	57	40.35087719298245
V	29	74	39.189189189189186
W	9	19	47.368421052631575
X	9	22	40.909090909090914
