COG20_CATEGORY_ACC	methylated_count	annot_count	methylated_percent
A	1	1	100.0
C	195	232	84.05172413793103
D	50	57	87.71929824561403
E	237	272	87.13235294117648
F	74	87	85.0574712643678
G	164	186	88.17204301075269
H	156	191	81.67539267015707
I	147	173	84.97109826589595
J	210	259	81.08108108108108
K	203	250	81.2
L	128	154	83.11688311688312
M	242	269	89.96282527881041
N	88	103	85.43689320388349
No Annotation	58	82	70.73170731707317
O	177	212	83.49056603773585
P	190	220	86.36363636363636
Q	42	53	79.24528301886792
R	226	269	84.01486988847584
S	111	161	68.94409937888199
T	363	411	88.32116788321169
U	71	81	87.65432098765432
V	99	124	79.83870967741935
W	38	46	82.6086956521739
X	65	100	65.0
Z	2	2	100.0
