COG20_CATEGORY_ACC	methylated_count	annot_count	methylated_percent
C	15.0	173	8.670520231213873
D	2.0	29	6.896551724137931
E	10.0	151	6.622516556291391
F	2.0	64	3.125
G	8.0	72	11.11111111111111
H	4.0	165	2.4242424242424243
I	2.0	50	4.0
J	13.0	194	6.701030927835052
K	3.0	49	6.122448979591836
L	3.0	73	4.10958904109589
M	5.0	101	4.9504950495049505
N	0.0	12	0.0
No Annotation	4.0	682	0.5865102639296188
O	8.0	113	7.079646017699115
P	1.0	59	1.694915254237288
Q	1.0	19	5.263157894736842
R	1.0	119	0.8403361344537815
S	1.0	48	2.083333333333333
T	3.0	57	5.263157894736842
U	2.0	19	10.526315789473683
V	2.0	26	7.6923076923076925
W	0.0	6	0.0
X	0.0	1	0.0
Z	0.0	2	0.0
