COG20_CATEGORY_ACC	methylated_count	annot_count	methylated_percent
C	85.0	166	51.204819277108435
D	16.0	20	80.0
E	82.0	126	65.07936507936508
F	36.0	55	65.45454545454545
G	50.0	68	73.52941176470588
H	104.0	160	65.0
I	28.0	48	58.333333333333336
J	97.0	180	53.888888888888886
K	22.0	40	55.00000000000001
L	46.0	70	65.71428571428571
M	66.0	108	61.111111111111114
N	3.0	5	60.0
No Annotation	125.0	587	21.29471890971039
O	62.0	99	62.62626262626263
P	39.0	60	65.0
Q	10.0	18	55.55555555555556
R	65.0	107	60.747663551401864
S	24.0	47	51.06382978723404
T	28.0	46	60.86956521739131
U	8.0	16	50.0
V	17.0	23	73.91304347826086
W	0.0	2	0.0
X	1.0	1	100.0
Z	2.0	2	100.0
