COG20_CATEGORY_ACC	methylated_count	annot_count	methylated_percent
C	86.0	166	51.80722891566265
D	16.0	20	80.0
E	84.0	126	66.66666666666666
F	36.0	55	65.45454545454545
G	50.0	68	73.52941176470588
H	106.0	160	66.25
I	28.0	48	58.333333333333336
J	99.0	181	54.69613259668509
K	22.0	40	55.00000000000001
L	48.0	70	68.57142857142857
M	67.0	108	62.03703703703704
N	3.0	5	60.0
No Annotation	128.0	585	21.88034188034188
O	63.0	99	63.63636363636363
P	39.0	60	65.0
Q	10.0	18	55.55555555555556
R	65.0	107	60.747663551401864
S	26.0	46	56.52173913043478
T	29.0	46	63.04347826086957
U	8.0	16	50.0
V	18.0	23	78.26086956521739
W	0.0	2	0.0
X	1.0	1	100.0
Z	2.0	2	100.0
