COG20_CATEGORY_ACC	methylated_count	annot_count	methylated_percent
A	1	1	100.0
C	207	226	91.5929203539823
D	53	56	94.64285714285714
E	254	266	95.48872180451127
F	86	92	93.47826086956522
G	184	194	94.84536082474226
H	173	193	89.63730569948186
I	146	163	89.57055214723927
J	222	253	87.74703557312253
K	225	262	85.87786259541986
L	141	149	94.63087248322147
M	255	273	93.4065934065934
N	94	103	91.2621359223301
No Annotation	51	64	79.6875
O	185	206	89.80582524271846
P	195	212	91.98113207547169
Q	45	49	91.83673469387756
R	244	270	90.37037037037037
S	117	159	73.58490566037736
T	420	443	94.80812641083521
U	82	86	95.34883720930233
V	105	121	86.77685950413223
W	43	48	89.58333333333334
X	114	125	91.2
Z	3	3	100.0
