COG20_CATEGORY_ACC	methylated_count	annot_count	methylated_percent
A	1	1	100.0
C	219	238	92.01680672268907
D	54	57	94.73684210526315
E	265	277	95.66787003610109
F	86	91	94.5054945054945
G	187	197	94.9238578680203
H	180	199	90.45226130653266
I	157	174	90.22988505747126
J	223	255	87.45098039215686
K	237	277	85.5595667870036
L	140	150	93.33333333333333
M	262	281	93.23843416370107
N	96	105	91.42857142857143
No Annotation	55	69	79.71014492753623
O	192	215	89.30232558139535
P	199	218	91.28440366972477
Q	49	54	90.74074074074075
R	253	280	90.35714285714286
S	120	162	74.07407407407408
T	449	473	94.9260042283298
U	82	86	95.34883720930233
V	109	123	88.6178861788618
W	43	48	89.58333333333334
X	114	126	90.47619047619048
Z	3	3	100.0
