COG20_CATEGORY_ACC	methylated_count	annot_count	methylated_percent
B	1	1	100.0
C	90	166	54.21686746987952
D	33	50	66.0
E	125	193	64.76683937823834
F	33	61	54.09836065573771
G	61	96	63.541666666666664
H	92	155	59.354838709677416
I	111	193	57.51295336787565
J	110	210	52.38095238095239
K	72	142	50.70422535211267
L	85	136	62.5
M	140	209	66.98564593301435
N	28	48	58.333333333333336
No Annotation	17	56	30.357142857142854
O	86	148	58.108108108108105
P	97	142	68.30985915492957
Q	39	67	58.2089552238806
R	110	187	58.82352941176471
S	71	144	49.30555555555556
T	134	190	70.52631578947368
U	46	69	66.66666666666666
V	46	65	70.76923076923077
W	13	19	68.42105263157895
X	19	34	55.88235294117647
Z	1	3	33.33333333333333
