COG20_CATEGORY_ACC	methylated_count	annot_count	methylated_percent
A	1	1	100.0
C	143	227	62.99559471365639
D	39	60	65.0
E	191	278	68.70503597122301
F	57	86	66.27906976744185
G	135	189	71.42857142857143
H	105	182	57.692307692307686
I	107	170	62.94117647058823
J	157	260	60.38461538461538
K	152	240	63.33333333333333
L	101	167	60.47904191616767
M	178	283	62.89752650176679
N	55	97	56.70103092783505
No Annotation	34	85	40.0
O	134	211	63.507109004739334
P	150	236	63.559322033898304
Q	32	50	64.0
R	164	269	60.966542750929364
S	77	161	47.82608695652174
T	277	422	65.63981042654028
U	52	83	62.65060240963856
V	89	129	68.9922480620155
W	27	48	56.25
X	37	66	56.060606060606055
Z	2	2	100.0
