COG20_CATEGORY_ACC	methylated_count	annot_count	methylated_percent
C	47.0	236	19.915254237288135
D	9.0	61	14.754098360655737
E	50.0	274	18.248175182481752
F	17.0	80	21.25
G	29.0	196	14.795918367346939
H	28.0	191	14.659685863874344
I	30.0	172	17.441860465116278
J	35.0	257	13.618677042801556
K	36.0	250	14.399999999999999
L	37.0	166	22.289156626506024
M	51.0	276	18.478260869565215
N	17.0	104	16.346153846153847
No Annotation	8.0	63	12.698412698412698
O	48.0	211	22.748815165876778
P	51.0	228	22.36842105263158
Q	8.0	50	16.0
R	35.0	260	13.461538461538462
S	24.0	162	14.814814814814813
T	105.0	445	23.595505617977526
U	15.0	90	16.666666666666664
V	24.0	116	20.689655172413794
W	10.0	48	20.833333333333336
X	15.0	85	17.647058823529413
Z	0.0	1	0.0
